word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
difficult,0.00097146327,0,0,0.00095458199,0,0,0.00077620919,0,0,0.0010474579,0,0.0017841213,0,0
undertaking,0.00052620927,0,0,0,0,0.00025791238,0,0,0,0,0,0,0.00046894888,0
passed,0,0,0,0.00015072347,0,0.0015843189,0,0.0022967845,0.0015555556,0.00048344211,0,0.00050178412,0,0
from,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hands,0.00089050799,0.0011115011,0,0.00060289389,0.00068969841,0,0,0,0.000074074074,0,0.0013349155,0,0,0
an,0,0,0,0,0,0,0,0,0,0,0,0,0,0
established,0.00068811981,0,0.0016378899,0,0,0.0023580561,0,0,0,0,0,0,0.0020097809,0
its,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usefulness,0,0,0,0,0,0,0.00029107845,0,0,0,0,0,0.00026797079,0
effects,0,0,0,0,0,0,0.00067918304,0,0.00022222222,0,0,0,0,0.00030196276
disclose,0.00020238818,0,0,0,0,0,0,0,0.00014814815,0,0,0,0,0
themselves,0.0032786885,0.00058500059,0,0,0,0,0.0012128269,0,0,0,0,0.0025089206,0,0.0013588324
experience,0.0012952844,0.00017550018,0,0.00070337621,0,0.0015106297,0,0,0,0,0,0,0,0.00020130851
chiefly,0,0,0,0,0.00012539971,0,0,0,0,0.00064458948,0,0,0,0
strikes,0.00093098563,0,0,0,0,0,0,0.00059916117,0,0,0,0,0,0
look,0.0010524185,0,0,0.0049738746,0,0,0,0,0,0,0,0,0.00060293428,0.00090588827
about,0.001781016,0.0081315081,0,0.0029139871,0.014546367,0,0.0023771406,0.00084881166,0,0,0.0017057253,0,0,0
during,0,0,0.002320344,0,0.0088406797,0.0020632991,0.0044146898,0,0,0.0016920474,0,0.0024531668,0,0
these,0,0,0,0,0,0,0,0,0,0,0,0,0,0
days,0,0.0007020007,0,0.0045217042,0,0,0,0.00074895147,0,0,0.00088994364,0,0,0
year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forever,0,0,0,0.00085409968,0,0,0,0,0,0,0.00066745773,0,0,0
memorable,0,0,0,0.00020096463,0,0,0,0,0,0,0,0,0,0
history,0,0,0,0.0088926849,0,0,0,0.0013980427,0,0,0,0,0,0.0040764972
world,0,0,0,0,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0.0026627814,0,0,0,0.0013481126,0,0,0.0014090774,0,0.0014738394,0.0029693005
new,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facing,0.000080955272,0,0,0.00055265273,0,0,0,0.00024965049,0,0,0,0,0.00066992698,0
them,0,0,0,0,0,0,0,0,0,0,0,0,0,0
six,0,0,0,0.00055265273,0,0,0,0.00079888157,0,0.0026589316,0.00037080985,0,0,0
months,0.000040477636,0,0,0.0020598875,0.0033857922,0,0.001940523,0.00034951069,0,0.00072516316,0.0015574014,0,0,0
must,0,0,0,0,0,0,0,0,0,0,0,0,0,0
come,-face,0,0,0,0.000050241158,0,0,0,0,0,0,0,0,0,0
partisan,0.0015786278,0,0,0,0,0,0,0,0.000074074074,0,0,0,0,0.00025163563
feeling,0,0,0,0,0,0,0.0001940523,0,0,0,0,0,0,0.00050327126
men,0,0,0,0.0020096463,0,0,0,0,0.00022222222,0.014019821,0.0080836547,0,0,0.0052843483
forgotten,0,0,0,0.00080385852,0,0,0,0,0,0,0,0,0,0.000050327126
everything,0,0.0012285012,0,0.0013062701,0,0,0,0,0,0,0.0011865915,0,0,0
common,0,0.00058500059,0.0022520985,0.00060289389,0,0,0,0,0,0.00024172105,0,0.0059099019,0,0.0036738802
duty,0.003116778,0,0,0.0017584405,0,0,0,0,0,0.0011280316,0,0,0,0.0010568697
fact,0.0019834042,0,0,0.0012057878,0.001316697,0,0.0014553922,0,0,0,0,0,0,0.0018117765
representatives,0.0010524185,0,0,0,0,0.00036844626,0,0,0.002962963,0,0,0,0,0
